datetime,open,high,low,close,volume
2021-03-31 00:00:00+00:00,50085.26,50975.0,48500.0,50028.89,2102.32534138
2021-04-01 00:00:00+00:00,50014.16,50669.1,49219.0,49895.83,1084.18841164
2021-04-02 00:00:00+00:00,49900.87,51047.18,49687.42,50136.05,1352.04998671
2021-04-03 00:00:00+00:00,50106.52,50660.33,48624.8,48763.0,1159.26454922
2021-04-04 00:00:00+00:00,48718.92,49876.6,48250.0,49456.77,1032.66493062
2021-04-05 00:00:00+00:00,49465.27,50197.26,48338.63,49950.0,1277.86693677
2021-04-06 00:00:00+00:00,49950.0,50190.0,48450.0,48876.04,1323.99400483
2021-04-07 00:00:00+00:00,48860.26,49420.72,46810.5,47228.84,2468.49528653
2021-04-08 00:00:00+00:00,47213.41,48830.72,47011.2,48776.48,1092.82731317
2021-04-09 00:00:00+00:00,48755.65,49539.4,48553.6,48907.45,767.65024863
2021-04-10 00:00:00+00:00,48894.33,50755.4,48722.68,50146.06,1968.97450631
2021-04-11 00:00:00+00:00,50131.21,50600.0,49541.6,50342.94,1064.91727639
2021-04-12 00:00:00+00:00,50391.21,51446.04,49965.0,50189.68,1665.50337817
2021-04-13 00:00:00+00:00,50189.68,53333.0,50143.92,53154.03,2349.00928757
2021-04-14 00:00:00+00:00,53189.76,54203.35,51300.0,52597.64,2378.78872429
2021-04-15 00:00:00+00:00,52625.14,53354.35,51911.5,52890.74,1287.96663158
2021-04-16 00:00:00+00:00,52851.44,53178.22,50080.23,51271.98,2337.81533726
2021-04-17 00:00:00+00:00,51293.15,52267.54,50179.53,50503.86,1330.67342218
2021-04-18 00:00:00+00:00,50537.44,50818.19,44099.05,47053.79,5854.4272275
2021-04-19 00:00:00+00:00,47039.18,48143.35,45223.78,46281.66,2352.75548362
2021-04-20 00:00:00+00:00,46284.52,47500.0,44311.1,47035.83,2672.01247349
2021-04-21 00:00:00+00:00,46998.59,47240.25,44620.0,44734.03,1843.96560359
2021-04-22 00:00:00+00:00,44728.8,46070.89,41983.12,43070.98,4161.631303
2021-04-23 00:00:00+00:00,43052.12,43364.81,39370.0,42404.06,5928.82378121
2021-04-24 00:00:00+00:00,42404.06,42421.7,40499.48,41534.18,2128.37110895
2021-04-25 00:00:00+00:00,41550.45,41883.74,38974.68,40650.69,1996.08837351
2021-04-26 00:00:00+00:00,40650.69,45045.68,40436.56,44787.52,3123.44110088
2021-04-27 00:00:00+00:00,44757.76,45920.0,44217.66,45562.78,1460.13458802
2021-04-28 00:00:00+00:00,45575.2,46527.98,44626.87,45257.39,1880.81742094
2021-04-29 00:00:00+00:00,45251.62,45524.12,43209.07,44202.49,1610.48613841
2021-04-30 00:00:00+00:00,44198.93,48179.68,43793.92,47991.24,2336.2137784
2021-05-01 00:00:00+00:00,47975.3,48682.7,47389.23,47998.17,1474.03907378
2021-05-02 00:00:00+00:00,48026.89,48090.64,46711.04,47090.62,1092.81432007
2021-05-03 00:00:00+00:00,47090.61,48996.82,46826.4,47404.06,1910.00885025
2021-05-04 00:00:00+00:00,47445.49,47474.42,44257.99,44352.95,3587.60663072
2021-05-05 00:00:00+00:00,44343.85,48300.0,44099.05,47810.75,2723.48280504
2021-05-06 00:00:00+00:00,47781.31,48423.35,45850.31,46778.47,2319.67399158
